2	1
4	2
7	3
9	4
11	5
12	6
14	7
16	8
19	9
20	10
23	11
24	12
27	13
28	14
31	15
32	16
35	17
39	19
40	18
40	20
45	21
48	22
51	23
52	24
55	25
56	26
59	28
59	27
64	29
65	30
70	31
73	32
75	33
79	34
80	35
84	36
85	37
88	38
89	39
91	40
93	41
96	42
98	43
101	44
103	45
106	46
108	47
112	48
115	49
119	50
122	51
127	53
128	52
131	54
133	55
137	56
139	57
140	58
141	59
144	60
145	61
150	62
152	63
157	64
159	65
162	66
165	67
167	68
169	69
173	70
175	71
178	72
181	73
184	74
186	75
190	76
192	77
195	78
197	79
201	80
204	81
207	82
209	83
209	84
210	85
222	86
223	87
226	88
227	89
231	91
232	90
237	93
238	92
243	95
244	94
247	96
247	97
251	98
252	99
257	100
258	101
259	102
261	104
262	103
262	105
264	107
266	106
268	109
272	111
277	108
